tracking_id,num_points,bbox_area,point_density,avg_segment_distance,num_stops,street_length_total,intersection_count,street_density_km,edge_density_km,circuity_avg,intersection_density_km,node_density_km,cluster,pca1,pca2
68337,96,0.0045254290254208,21208.771740560893,133.95012112326472,96,90289.889278272,466.0,4998.072095007131,9489.134132705974,1.0520122093157798,25.79581850073012,33.37956771661,3,0.6726829148131495,1.0428053338695071
68407,121,0.0001224613376807,980063.8991364706,46.56099809441953,121,4297.01264232919,22.0,8747.352230965847,17385.392513697603,1.0202398166155606,44.78500881880949,59.03478435206705,1,3.6695461535148346,-1.6130391593162865
68489,85,0.000823252989996,103123.67808384565,72.61186614773125,85,18451.938519226176,88.0,6209.330991905727,12409.683271936285,1.0368116576382,29.613209837999143,47.784952238589526,1,1.7351127206966586,-1.1377636959612882
68959,80,0.0024119675338586,33154.19659711217,100.19429815613148,80,34141.35403744291,191.0,8073.719788097277,16075.230913762996,1.072537563210772,45.167525512766034,62.19402727674066,1,3.251303079834688,-0.4944957379403683
69111,43,0.0020658090934479,20805.01781045741,204.38870546581123,43,56466.6100982062,269.0,6500.3863840932,12990.37284441517,1.0708508082789705,30.967042899864456,46.50812390909011,1,1.7364699126565013,0.07112975730511331
69195,181,0.0021080570444277,85820.3434934153,80.60508753899695,181,62002.698893009365,276.0,4714.289176966705,9412.542383161384,1.0908334382304057,20.98527702944091,30.41344497020421,3,0.11980428442637236,0.2736428251590911
69344,247,0.0455651645471942,5420.688847843991,176.82693460100353,247,203945.41849311048,837.0,2105.4793533668526,3664.856814036565,1.0739815904060594,8.640969881986281,11.036077423946637,2,-1.7543920256398997,3.7957103391955016
69362,137,0.0028594467141552,47894.61706174703,89.72511037326203,137,66441.5685918615,332.0,7878.2846379822895,15617.53515451204,1.059060424394308,39.36677828720779,55.374353795560346,1,2.8957353702380626,0.3311418031545875
69499,180,0.0042879244055118,41968.56437214832,85.42553629913826,180,94272.93060395429,452.0,4616.988348357183,8811.950847671844,1.0487273282560508,22.136563699547413,28.45429979963949,3,0.28171317245886673,1.0495122095383413
69596,111,0.0039117991209211,28368.43818699987,115.51046647096057,111,81012.42864301175,424.0,4566.181213579977,8642.195618167674,1.044960285682363,23.89831865292336,30.8874495797217,3,0.38922232841883747,0.7621526716024206
69642,108,0.0007329564070133,147147.70382545976,86.27891825156168,108,6968.159023130315,44.0,4475.456574544827,8701.797583892509,1.0236878992667822,28.2599878427444,34.040439901487574,1,0.6184788391738286,-1.4940561744275207
69701,223,0.0089912763157861,24799.060012037004,111.8123374198872,223,184398.67809715416,872.0,5946.580884756455,11495.67880402428,1.088954029734977,28.12069253975664,38.92394024711727,3,1.2144679706872195,3.691260677039327
69770,149,0.0010418551168769,142876.98989885356,67.39789710135871,149,29011.743465004467,157.0,7154.987919262755,14214.318862850532,1.050457903844495,38.719944724427805,50.5578896083293,1,2.445936360240903,-0.7416828026917135
69797,104,0.0005230479239748,198455.1321397861,63.81819321411535,104,10674.323845278604,57.0,4808.95959507332,9504.506108099764,1.0876099369613896,25.67944357809812,34.23925810413082,0,0.36842057246103704,-1.1082766702543505
69804,139,0.0038904511381952,35719.32296301766,104.73393901617172,139,57160.71426989909,229.0,3131.5814035926296,6241.716173573471,1.0870769742451405,12.545891887155005,17.805305080023476,0,-1.1579104752884049,0.06291435165377678
69876,76,0.0012590352003052,60315.77529071156,94.62705672917396,76,30592.99526052653,144.0,6105.278227566236,12200.090626852836,1.081739091593469,28.737299413892263,44.90203033420666,1,1.3657684260222944,-0.6038633667407686
69952,166,0.0004991737446926,331884.6735987749,50.20470005608689,166,9220.02538289328,53.0,4575.231892172508,8900.870026096556,1.0560056499228074,26.3000675394073,33.24725519132621,0,0.410718808320605,-1.2847259236420105
69987,161,0.0007874362309641,204201.6762765036,62.42960762281348,161,42883.91422385135,215.0,10729.235201319249,19979.804585291786,1.0859560751846196,53.79139497953386,70.30410227557682,1,4.659020116343346,-0.2390711184276558
70030,154,0.0045401710787567,33911.95736280448,94.28601398747182,154,91354.3349317364,471.0,4879.517136101525,9266.203006290263,1.0490076374989452,25.157564474867712,32.58198371479683,3,0.5986351077070882,1.0599593219807455
70116,141,0.0007698047741672,182925.6962663952,85.94762699142916,141,10689.746135471742,49.0,2981.911066101969,5888.562249697242,1.0655251996835768,13.668579252237636,17.573887610019817,0,-1.1254417904019582,-1.2004547894914244
70128,202,0.0059031802389046,34213.04767577299,79.54574830700612,202,80669.53030038544,410.0,5984.268832354832,11684.948004011949,1.061358700390204,30.41483211975213,41.98730482873099,3,1.433409313027564,0.777927719020702
70268,118,0.0017131021894864,68840.70315280023,86.43629563181183,118,54861.10405977963,249.0,7729.781591081621,15396.043919768936,1.065718684317519,35.083428399145035,49.45495328554179,1,2.4891474772355773,-0.025356276602323424
70275,145,0.0058098928999222,24953.135860056944,98.8974978531618,145,116060.34668787148,583.0,5379.029940401741,10260.562201366323,1.0511604447338518,27.020205821786764,35.1309022519972,3,0.9548365979907494,1.7384602605440036
70299,43,0.0011280895587522,38083.78145620324,122.80056539022036,43,10657.317398660482,83.0,7119.017940922738,14044.458593560115,1.034665932208345,55.44345420085309,65.46335556245305,1,3.4188057090734807,-1.3661380001862389
